"Concepto","Base mínima en UVT ≥","Base mínima en pesos  ≥","","%"
"Servicios de transporte de pasajeros nacional por vía aérea o marítima","4","","$ 199,000","1%"
"Servicios de transporte nacional de pasajeros por vía terrestre","27","","$ 1,345,000","3.50%"
"Servicios generales (declarantes renta)","4","","$ 199,000","4%"
"Servicios generales (no declarantes renta)","4","","$ 199,000","6%"
"Servicos P.N no declarante cuando del contrato se desprenda que los ingresos, o de los pagos o abonos en cuenta superan en el año (3.300) UVT; se aplicará el 4% a partir del pago o abono en cuenta del valor que exceda dicho valor.","4","","$ 199,000","4%"
"Servicios integrales de salud prestados por IPS","4","","$ 199,000","2%"
"Servicios prestados por empresas de servicios temporales (sobre AIU) que no puede ser inferior al 10% del contrato.","4","","$ 199,000","1%"
"Servicios prestados por empresas de vigilancia y aseo (sobre AIU) que no puede ser inferior al 10% del contrato","4","","$ 199,000","2%"
"Servicios de sísmica","","","100%","6%"
"Rete IVA por compras  (15% sobre el IVA)","27","","$ 1,345,000","15%"
"Rete IVA por servicios (15% sobre el IVA)","4","","$ 199,000","15%"
